Screen Brightness,Source of Internet,# Background Apps,Night Shift,Power Saving Mode,Foreground Application,Bluetooth,Phone,Time
-1,-1,-1,-1,-1,-1,1,1,3168
1,-1,-1,-1,-1,-1,-1,-1,392
-1,1,-1,-1,-1,-1,-1,-1,1034
1,1,-1,-1,-1,-1,1,1,479
-1,-1,1,-1,-1,-1,-1,1,2197
1,-1,1,-1,-1,-1,1,-1,573
-1,1,1,-1,-1,-1,1,-1,1048
1,1,1,-1,-1,-1,-1,1,642
-1,-1,-1,1,-1,-1,-1,1,2084
1,-1,-1,1,-1,-1,1,-1,494
-1,1,-1,1,-1,-1,1,-1,655
1,1,-1,1,-1,-1,-1,1,810
-1,-1,1,1,-1,-1,1,1,2613
1,-1,1,1,-1,-1,-1,-1,545
-1,1,1,1,-1,-1,-1,-1,5297
1,1,1,1,-1,-1,1,1,577
-1,-1,-1,-1,1,-1,1,-1,1013
1,-1,-1,-1,1,-1,-1,1,805
-1,1,-1,-1,1,-1,-1,1,2148
1,1,-1,-1,1,-1,1,-1,445
-1,-1,1,-1,1,-1,-1,-1,1454
1,-1,1,-1,1,-1,1,1,1256
-1,1,1,-1,1,-1,1,1,1966
1,1,1,-1,1,-1,-1,-1,583
-1,-1,-1,1,1,-1,-1,-1,1058
1,-1,-1,1,1,-1,1,1,1345
-1,1,-1,1,1,-1,1,1,2454
1,1,-1,1,1,-1,-1,-1,895
-1,-1,1,1,1,-1,1,-1,1158
1,-1,1,1,1,-1,-1,1,1224
-1,1,1,1,1,-1,-1,1,2334
1,1,1,1,1,-1,1,-1,740
-1,-1,-1,-1,-1,1,1,-1,991
1,-1,-1,-1,-1,1,-1,1,229
-1,1,-1,-1,-1,1,-1,1,608
1,1,-1,-1,-1,1,1,-1,3537
-1,-1,1,-1,-1,1,-1,-1,877
1,-1,1,-1,-1,1,1,1,209
-1,1,1,-1,-1,1,1,1,892
1,1,1,-1,-1,1,-1,-1,238
-1,-1,-1,1,-1,1,-1,-1,377
1,-1,-1,1,-1,1,1,1,241
-1,1,-1,1,-1,1,1,1,813
1,1,-1,1,-1,1,-1,-1,276
-1,-1,1,1,-1,1,1,-1,493
1,-1,1,1,-1,1,-1,1,238
-1,1,1,1,-1,1,-1,1,770
1,1,1,1,-1,1,1,-1,170
-1,-1,-1,-1,1,1,1,1,769
1,-1,-1,-1,1,1,-1,-1,278
-1,1,-1,-1,1,1,-1,-1,750
1,1,-1,-1,1,1,1,1,168
-1,-1,1,-1,1,1,-1,1,656
1,-1,1,-1,1,1,1,-1,174
-1,1,1,-1,1,1,1,-1,728
1,1,1,-1,1,1,-1,1,90
-1,-1,-1,1,1,1,-1,1,1031
1,-1,-1,1,1,1,1,-1,284
-1,1,-1,1,1,1,1,-1,1230
1,1,-1,1,1,1,-1,1,102
-1,-1,1,1,1,1,1,1,1064
1,-1,1,1,1,1,-1,-1,581
-1,1,1,1,1,1,-1,-1,264
1,1,1,1,1,1,1,1,314
